accel_x,accel_y,accel_z
5.143652,5.179521,6.377554
5.12213,5.158,6.40625
5.12213,5.186695,6.456467
5.079087,5.179521,6.391902
5.014523,5.236912,6.363207
5.057566,5.222564,6.449293
5.036044,5.158,6.506684
5.107783,5.136478,6.449293
5.050392,5.186695,6.420598
5.12213,5.201043,6.485162
5.114956,5.186695,6.420598
5.06474,5.201043,6.434945
5.114956,5.165174,6.420598
5.071913,5.150826,6.377554
5.06474,5.158,6.399076
5.100609,5.114956,6.463641
5.057566,5.172348,6.363207
5.114956,5.12213,6.40625
5.079087,5.165174,6.391902
5.079087,5.12213,6.348859
5.143652,5.150826,6.463641
5.12213,5.158,6.384728
5.086261,5.208217,6.40625
5.100609,5.229738,6.377554
5.079087,5.172348,6.37038
5.165174,5.12213,6.420598
5.093435,5.150826,6.463641
5.100609,5.12213,6.442119
5.114956,5.158,6.456467
5.114956,5.201043,6.420598
5.114956,5.179521,6.463641
5.06474,5.079087,6.399076
5.186695,5.114956,6.434945
5.201043,5.186695,6.456467
5.150826,5.172348,6.399076
5.150826,5.179521,6.449293
5.143652,5.086261,6.513858
5.172348,5.172348,6.427772
5.071913,5.193869,6.384728
5.043218,5.12213,6.456467
5.071913,5.222564,6.356033
5.071913,5.215391,6.477988
5.114956,5.129304,6.463641
5.143652,5.150826,6.470815
5.12213,5.165174,6.399076
5.143652,5.186695,6.434945
5.236912,5.158,6.427772
5.143652,5.215391,6.399076
5.114956,5.136478,6.470815
5.079087,5.158,6.37038
5.06474,5.150826,6.456467
5.043218,5.172348,6.442119
5.036044,5.150826,6.442119
5.06474,5.150826,6.434945
5.100609,5.158,6.334511
5.129304,5.158,6.413424
5.12213,5.229738,6.434945
5.114956,5.215391,6.470815
5.100609,5.25126,6.463641
5.093435,5.25126,6.420598
5.143652,5.165174,6.420598
5.129304,5.158,6.492336
5.079087,5.079087,6.427772
5.050392,5.143652,6.413424
5.057566,5.179521,6.456467
5.057566,5.222564,6.399076
5.093435,5.158,6.413424
5.12213,5.165174,6.477988
5.186695,5.136478,6.40625
5.100609,5.129304,6.492336
5.093435,5.172348,6.470815
5.093435,5.229738,6.434945
5.093435,5.193869,6.456467
5.02887,5.201043,6.40625
5.201043,5.158,6.434945
5.150826,5.079087,6.341685
5.093435,5.143652,6.348859
5.093435,5.208217,6.442119
5.079087,5.186695,6.456467
5.107783,5.201043,6.391902
5.093435,5.222564,6.384728
5.007349,5.208217,6.399076
5.079087,5.158,6.399076
5.079087,5.229738,6.399076
5.071913,5.158,6.449293
5.036044,5.107783,6.449293
5.165174,5.136478,6.485162
5.114956,5.150826,6.420598
5.071913,5.186695,6.40625
5.06474,5.208217,6.391902
5.043218,5.172348,6.391902
5.136478,5.208217,6.427772
5.12213,5.107783,6.37038
5.050392,5.222564,6.449293
5.165174,5.172348,6.413424
5.186695,5.179521,6.37038
5.12213,5.143652,6.456467
5.043218,5.236912,6.391902
5.179521,5.229738,6.477988
5.143652,5.158,6.40625
5.150826,5.208217,6.506684
5.143652,5.201043,6.320164
5.093435,5.172348,6.37038
5.12213,5.222564,6.434945
5.050392,5.107783,6.442119
5.079087,5.158,6.485162
5.086261,5.143652,6.477988
5.043218,5.12213,6.470815
5.150826,5.136478,6.399076
5.086261,5.165174,6.449293
5.057566,5.158,6.442119
5.107783,5.215391,6.463641
5.129304,5.150826,6.456467
5.093435,5.086261,6.427772
5.12213,5.136478,6.413424
5.086261,5.143652,6.564075
5.079087,5.222564,6.391902
5.114956,5.165174,6.40625
5.050392,5.193869,6.434945
5.12213,5.208217,6.391902
5.129304,5.215391,6.40625
5.136478,5.258433,6.356033
5.193869,5.165174,6.427772
5.158,5.208217,6.413424
5.06474,5.193869,6.470815
5.093435,5.179521,6.420598
5.158,5.201043,6.40625
5.086261,5.150826,6.413424
5.043218,5.114956,6.456467
5.114956,5.129304,6.341685
5.129304,5.179521,6.391902
5.043218,5.129304,6.427772
